Disease_ID,Disease,Disease_Type,Causative_Agent,Main_Animals_Affected,Transmission_or_Risk_Factors,Key_Properties_and_Signs,Treatment_or_Control,Prevention_Methods,Zoonotic_Risk,SADC_2011_Outbreaks,SADC_2011_Cases,SADC_2011_Deaths,SADC_2011_Destroyed,SADC_2011_Slaughtered,SADC_Yearbook_Source,Reference_and_Data_Notes,Botswana_Wildlife_Context_Species,Wildlife_Population_Context,Wildlife_Digest_2014_Source_and_Limitation
11,Botulism,Bacterial toxin,Neurotoxins produced by Clostridium botulinum,"Cattle, sheep, goats, horses, poultry and wildlife","Ingestion of preformed toxin in spoiled feed, carrion, bones or contaminated water",Progressive flaccid paralysis; weak tongue; difficulty swallowing; recumbency; respiratory failure,Type-appropriate antitoxin as early as possible plus intensive supportive care; remove the toxin source,Carcass and bone removal; feed and water hygiene; prevent silage contamination; vaccination in recognised risk areas,Not usually transmitted from animals; contaminated food can poison humans,39,76,39,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
12,Bovine anaplasmosis,Bacterial; vector-borne,Anaplasma marginale,Cattle and some wild ruminants,"Ticks; biting flies; blood-contaminated needles, instruments or dehorning equipment",Fever; severe anaemia; jaundice; weakness; abortions; older cattle often have more severe disease,Veterinary tetracycline-class therapy; blood transfusion and supportive care for severe anaemia,Tick and biting-fly control; single-use or disinfected equipment; vaccination where licensed; manage carrier introductions,No,869,4348,840,,1,"Annex p.57; Section 7.2, pp.43-44","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Eland; Kudu; Wildebeest,"Buffalo: 61,105 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
13,Bovine babesiosis,Protozoal; vector-borne,Babesia bovis and Babesia bigemina,Cattle,Rhipicephalus ticks; occasionally blood-contaminated equipment,High fever; haemolytic anaemia; jaundice; red urine; Babesia bovis may cause nervous signs,Veterinary babesicidal drugs and supportive care; blood transfusion may be required,Integrated tick control; vaccination in endemic areas where available; inspect and quarantine introduced cattle,No,416,1136,216,1,,"Annex p.57; Section 7.3, pp.45-46","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo,"Buffalo: 61,105 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
14,Bovine brucellosis,Bacterial,Brucella abortus,Cattle; humans,"Contact with aborted fetuses, placenta, uterine fluids or milk; contaminated premises",Late-term abortion; retained placenta; infertility; weak calves; orchitis in bulls,"No recommended herd-level cure in control programmes; test, segregate and remove infected animals according to law",Vaccination under official programmes; test-and-control; biosecure calving; safe disposal of reproductive waste; pasteurise milk,Yes,660,6405,89,1063,301,"Annex p.57; Section 6.3, pp.36-38","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo,"Buffalo: 61,105 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
15,Bovine cysticercosis,Parasitic; cestode larval infection,Taenia saginata cysticerci,Cattle are intermediate hosts; humans carry the adult tapeworm,"Cattle ingest eggs from human faecal contamination of pasture, feed or water",Usually no obvious signs in cattle; cysts in muscle lead to carcass condemnation or treatment,No routine practical herd treatment; manage affected carcasses through regulated meat inspection,Sanitation and sewage control; prevent farm-worker defecation on pasture; meat inspection; thoroughly cook or freeze beef as required,Yes,210,5696,1,5391,2733,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
16,Bovine genital campylobacteriosis,Bacterial; venereal,Campylobacter fetus subsp. venerealis,Cattle,Natural service by infected carrier bulls; contaminated semen or breeding equipment,Infertility; repeat breeding; early embryonic loss; occasional abortion; bulls are usually asymptomatic,Veterinary treatment may be attempted in valuable bulls but control commonly relies on removing carriers,Use artificial insemination with certified semen; test breeding bulls; vaccinate where available; maintain closed breeding groups,No,19,36,1,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
17,Bovine tuberculosis,Bacterial,Mycobacterium bovis,"Cattle, wildlife and many mammals; humans",Aerosols and close contact; unpasteurised milk; contaminated feed or wildlife-livestock contact,Often chronic or subclinical; cough; enlarged lymph nodes; weight loss; granulomas,No livestock treatment in eradication programmes; test and remove infected animals under official control,Surveillance testing; movement controls; slaughter inspection; pasteurisation; manage wildlife interfaces and farm biosecurity,Yes,147,4128,39,81,1236,"Annex p.57; Section 6.4, pp.38-40","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo,"Buffalo: 61,105 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
18,Canine distemper,Viral,"Canine distemper virus, a morbillivirus",Dogs and wild carnivores,Respiratory droplets and contact with secretions; spread is greatest among unvaccinated animals,Fever; nasal and eye discharge; cough; diarrhoea; hard pads; seizures and other neurological signs,"No specific antiviral cure; isolation, fluids, nutrition, seizure control and treatment of secondary infection",Core vaccination; isolate cases; quarantine susceptible contacts; disinfect shared equipment,No,105,470,91,,,"Annex p.57; Section 7.5, pp.49-50","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Wild dog; Lion; Spotted Hyaena; Brown Hyaena; Jackal,Wild dog: No 2012 countrywide estimate reported in Table 1.2a; Lion: No 2012 countrywide estimate reported in Table 1.2a; Spotted Hyaena: No 2012 countrywide estimate reported in Table 1.2a; Brown Hyaena: No 2012 countrywide estimate reported in Table 1.2a; Jackal: No 2012 countrywide estimate reported in Table 1.2a,"Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
19,Caprine and ovine brucellosis,Bacterial,Brucella melitensis,Sheep and goats; humans,Contact with abortion materials and birth fluids; milk; contaminated pens and equipment,Late abortion; retained placenta; infertility; weak young; orchitis,"No dependable flock cure; official programmes use testing, segregation and removal",Rev.1 vaccination where officially used; quarantine and test replacements; isolate aborters; PPE and safe disposal; pasteurise milk,Yes,2,9,,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
20,Coccidiosis,Protozoal,Eimeria species; host-specific species predominate,"Young calves, lambs, kids, poultry and other animals","Faecal-oral ingestion of sporulated oocysts; crowding, wet bedding and stress increase risk","Diarrhoea, sometimes bloody; straining; dehydration; poor growth; mortality in severe outbreaks",Species-appropriate anticoccidial treatment and fluid/supportive care under veterinary guidance,Dry clean housing; reduce crowding; separate age groups; hygiene of feeders and drinkers; strategic coccidiostats or vaccination where applicable,No,173,2380,479,10,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
21,Contagious agalactia,Bacterial; mycoplasmal,Mainly Mycoplasma agalactiae; related mycoplasmas may cause a similar syndrome,Sheep and goats,"Milk, direct contact, respiratory and ocular secretions; carrier animals",Mastitis with reduced milk; arthritis; keratoconjunctivitis; occasional pneumonia,Veterinary antimicrobials may reduce signs but may not eliminate carriers; chronic cases may be culled,Quarantine and test replacements; milking hygiene; separate affected animals; vaccination where locally available,No,6,8,,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
22,Contagious bovine pleuropneumonia,Bacterial; mycoplasmal,Mycoplasma mycoides subsp. mycoides,Cattle,Close-contact respiratory droplets; movement of infected or carrier cattle,Fever; painful breathing; cough; severe fibrinous pneumonia and pleurisy; chronic lung sequestra,"Follow official policy; antimicrobial treatment can mask disease and leave carriers, so outbreak control may require culling",Vaccination in endemic control programmes; surveillance; quarantine; movement control; rapid reporting,No,104,10230,1076,22,1503,"Annex p.57; Section 5.4, pp.18-19","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
23,Contagious caprine pleuropneumonia,Bacterial; mycoplasmal,Mycoplasma capricolum subsp. capripneumoniae,Goats; occasionally wild caprines,Respiratory droplets during close contact and animal movement,High fever; painful breathing; cough; severe pleuropneumonia; high morbidity and mortality,Early veterinary antimicrobial treatment and supportive care; follow outbreak reporting requirements,Vaccination where available; quarantine and movement control; reduce crowding and mixing,No,8,223,35,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
